feature	coef
model_200	-5112.764457
model_edge	-5118.113493
manufacturer_hyundai	-5144.179771
model_sonic lt	-5232.750878
model_liberty	-5237.034932
model_camry l sedan 4d	-5267.613253
model_x3	-5280.477285
model_FordE450	-5327.090595
fuel_nan	-5331.653674
model_Suzuki XL-7	-5492.331279
model_versa	-5564.679292
model_malibu	-5574.50883
model_econoline	-5721.573282
model_hhr lt	-5800.372063
model_1500 classic regular cab	-5840.694708
model_terrain	-5853.746889
model_patriot	-5904.181497
type_bus	-5946.74724
model_s60 t5 inscription sedan	-5951.637402
model_is	-5973.279687
model_scion ia	-6288.315465
model_F-350	-6610.437376
drive_fwd	-6616.195639
fuel_other	-6890.207206
model_jetta tdi	-6977.118568
model_crown victoria	-7234.878489
manufacturer_volkswagen	-7327.405769
model_outlander phev gt	-7380.570303
model_hhr	-7382.751128
model_e320 cdi	-7390.383336
fuel_gas	-7689.22428
fuel_hybrid	-8340.609655
model_trax	-8540.581817
cylinders_other	-9816.714669
model_SPECIAL FINANCE PROGRAM 2020	-9816.718472
model_2002 limited 4 runner	-9862.976177
model_renegade sport suv 4d	-10355.3009
